,date
1265,2014-02-25
1266,2014-02-26
1267,2014-02-27
1268,2014-02-28
1287,2014-03-01
1298,2014-03-02
1301,2014-03-03
1302,2014-03-04
1303,2014-03-05
1304,2014-03-06
1305,2014-03-07
1306,2014-03-08
1307,2014-03-09
1277,2014-03-10
1278,2014-03-11
1279,2014-03-12
1280,2014-03-13
1281,2014-03-14
1282,2014-03-15
1283,2014-03-16
1284,2014-03-17
1285,2014-03-18
1286,2014-03-19
1288,2014-03-20
1289,2014-03-21
1290,2014-03-22
1291,2014-03-23
1292,2014-03-24
1293,2014-03-25
1294,2014-03-26
1295,2014-03-27
1296,2014-03-28
1297,2014-03-29
1299,2014-03-30
1300,2014-03-31
1318,2014-04-01
1329,2014-04-02
1331,2014-04-03
1332,2014-04-04
1333,2014-04-05
1334,2014-04-06
1335,2014-04-07
1336,2014-04-08
1337,2014-04-09
1308,2014-04-10
1309,2014-04-11
1310,2014-04-12
1311,2014-04-13
1312,2014-04-14
1313,2014-04-15
1314,2014-04-16
1315,2014-04-17
1316,2014-04-18
1317,2014-04-19
1319,2014-04-20
1320,2014-04-21
1321,2014-04-22
1322,2014-04-23
1323,2014-04-24
1324,2014-04-25
1325,2014-04-26
1326,2014-04-27
1327,2014-04-28
1328,2014-04-29
1330,2014-04-30
1348,2014-05-01
1359,2014-05-02
1362,2014-05-03
1363,2014-05-04
1364,2014-05-05
1365,2014-05-06
1366,2014-05-07
1367,2014-05-08
1368,2014-05-09
1338,2014-05-10
1339,2014-05-11
1340,2014-05-12
1341,2014-05-13
1342,2014-05-14
1343,2014-05-15
1344,2014-05-16
1345,2014-05-17
1346,2014-05-18
1347,2014-05-19
1349,2014-05-20
1350,2014-05-21
1351,2014-05-22
1352,2014-05-23
1353,2014-05-24
1354,2014-05-25
1355,2014-05-26
1356,2014-05-27
1357,2014-05-28
1358,2014-05-29
1360,2014-05-30
1361,2014-05-31
1379,2014-06-01
1390,2014-06-02
1392,2014-06-03
1393,2014-06-04
1394,2014-06-05
1395,2014-06-06
1396,2014-06-07
1397,2014-06-08
1398,2014-06-09
1369,2014-06-10
1370,2014-06-11
1371,2014-06-12
1372,2014-06-13
1373,2014-06-14
1374,2014-06-15
1375,2014-06-16
1376,2014-06-17
1377,2014-06-18
1378,2014-06-19
1380,2014-06-20
1381,2014-06-21
1382,2014-06-22
1383,2014-06-23
1384,2014-06-24
1385,2014-06-25
1386,2014-06-26
1387,2014-06-27
1388,2014-06-28
1389,2014-06-29
1391,2014-06-30
1409,2014-07-01
1420,2014-07-02
1423,2014-07-03
1424,2014-07-04
1425,2014-07-05
1426,2014-07-06
1427,2014-07-07
1428,2014-07-08
1429,2014-07-09
1399,2014-07-10
1400,2014-07-11
1401,2014-07-12
1402,2014-07-13
1403,2014-07-14
1404,2014-07-15
1405,2014-07-16
1406,2014-07-17
1407,2014-07-18
1408,2014-07-19
1410,2014-07-20
1411,2014-07-21
1412,2014-07-22
1413,2014-07-23
1414,2014-07-24
1415,2014-07-25
1416,2014-07-26
1417,2014-07-27
1418,2014-07-28
1419,2014-07-29
1421,2014-07-30
1422,2014-07-31
1440,2014-08-01
1451,2014-08-02
1454,2014-08-03
1455,2014-08-04
1456,2014-08-05
1457,2014-08-06
1458,2014-08-07
1459,2014-08-08
1460,2014-08-09
1430,2014-08-10
1431,2014-08-11
1432,2014-08-12
1433,2014-08-13
1434,2014-08-14
1435,2014-08-15
1436,2014-08-16
1437,2014-08-17
1438,2014-08-18
1439,2014-08-19
1441,2014-08-20
1442,2014-08-21
1443,2014-08-22
1444,2014-08-23
1445,2014-08-24
1446,2014-08-25
1447,2014-08-26
1448,2014-08-27
1449,2014-08-28
1450,2014-08-29
1452,2014-08-30
1453,2014-08-31
1471,2014-09-01
1482,2014-09-02
1484,2014-09-03
1485,2014-09-04
1486,2014-09-05
1487,2014-09-06
1488,2014-09-07
1489,2014-09-08
1490,2014-09-09
1461,2014-09-10
1462,2014-09-11
1463,2014-09-12
1464,2014-09-13
1465,2014-09-14
1466,2014-09-15
1467,2014-09-16
1468,2014-09-17
1469,2014-09-18
1470,2014-09-19
1472,2014-09-20
1473,2014-09-21
1474,2014-09-22
1475,2014-09-23
1476,2014-09-24
1477,2014-09-25
1478,2014-09-26
1479,2014-09-27
1480,2014-09-28
1481,2014-09-29
1483,2014-09-30
1501,2014-10-01
1512,2014-10-02
1515,2014-10-03
1516,2014-10-04
1517,2014-10-05
1518,2014-10-06
1519,2014-10-07
