,date
951,2015-05-07
952,2015-05-08
953,2015-05-09
954,2015-05-10
955,2015-05-11
956,2015-05-12
957,2015-05-13
958,2015-05-14
959,2015-05-15
960,2015-05-16
961,2015-05-17
962,2015-05-18
963,2015-05-19
964,2015-05-20
965,2015-05-21
966,2015-05-22
967,2015-05-23
968,2015-05-24
969,2015-05-25
970,2015-05-26
971,2015-05-27
972,2015-05-28
973,2015-05-29
974,2015-05-30
975,2015-05-31
976,2015-06-01
977,2015-06-02
978,2015-06-03
979,2015-06-04
980,2015-06-05
981,2015-06-06
982,2015-06-07
983,2015-06-08
984,2015-06-09
985,2015-06-10
986,2015-06-11
987,2015-06-12
988,2015-06-13
989,2015-06-14
990,2015-06-15
991,2015-06-16
992,2015-06-17
993,2015-06-18
994,2015-06-19
995,2015-06-20
996,2015-06-21
997,2015-06-22
998,2015-06-23
999,2015-06-24
1000,2015-06-25
1001,2015-06-26
1002,2015-06-27
1003,2015-06-28
1004,2015-06-29
1005,2015-06-30
1006,2015-07-01
1007,2015-07-02
1008,2015-07-03
1009,2015-07-04
1010,2015-07-05
1011,2015-07-06
1012,2015-07-07
1013,2015-07-08
1014,2015-07-09
1015,2015-07-10
1016,2015-07-11
1017,2015-07-12
1018,2015-07-13
1019,2015-07-14
1020,2015-07-15
1021,2015-07-16
1022,2015-07-17
1023,2015-07-18
1024,2015-07-19
1025,2015-07-20
1026,2015-07-21
1027,2015-07-22
1028,2015-07-23
1029,2015-07-24
1030,2015-07-25
1031,2015-07-26
1032,2015-07-27
1033,2015-07-28
1034,2015-07-29
1035,2015-07-30
1036,2015-07-31
1037,2015-08-01
1038,2015-08-02
1039,2015-08-03
1040,2015-08-04
1041,2015-08-05
1042,2015-08-06
1043,2015-08-07
1044,2015-08-08
1045,2015-08-09
1046,2015-08-10
1047,2015-08-11
1048,2015-08-12
1049,2015-08-13
1050,2015-08-14
1051,2015-08-15
1052,2015-08-16
1053,2015-08-17
1054,2015-08-18
1055,2015-08-19
1056,2015-08-20
1057,2015-08-21
1058,2015-08-22
1059,2015-08-23
1060,2015-08-24
1061,2015-08-25
1062,2015-08-26
1063,2015-08-27
1064,2015-08-28
1065,2015-08-29
1066,2015-08-30
1067,2015-08-31
1068,2015-09-01
1069,2015-09-02
1070,2015-09-03
1071,2015-09-04
1072,2015-09-05
1073,2015-09-06
1074,2015-09-07
1075,2015-09-08
1076,2015-09-09
1077,2015-09-10
1078,2015-09-11
1079,2015-09-12
1080,2015-09-13
1081,2015-09-14
1082,2015-09-15
1083,2015-09-16
1084,2015-09-17
1085,2015-09-18
1086,2015-09-19
1087,2015-09-20
1088,2015-09-21
1089,2015-09-22
1090,2015-09-23
1091,2015-09-24
1092,2015-09-25
1093,2015-09-26
1094,2015-09-27
1095,2015-09-28
1096,2015-09-29
1097,2015-09-30
1098,2015-10-01
1099,2015-10-02
1100,2015-10-03
1101,2015-10-04
1102,2015-10-05
1103,2015-10-06
1104,2015-10-07
1105,2015-10-08
1106,2015-10-09
1107,2015-10-10
1108,2015-10-11
1109,2015-10-12
1110,2015-10-13
1111,2015-10-14
1112,2015-10-15
1113,2015-10-16
1114,2015-10-17
1115,2015-10-18
1116,2015-10-19
1117,2015-10-20
1118,2015-10-21
1119,2015-10-22
1120,2015-10-23
1121,2015-10-24
1122,2015-10-25
1123,2015-10-26
1124,2015-10-27
1125,2015-10-28
1126,2015-10-29
1127,2015-10-30
1128,2015-10-31
1129,2015-11-01
1130,2015-11-02
1131,2015-11-03
1132,2015-11-04
1133,2015-11-05
1134,2015-11-06
1135,2015-11-07
1136,2015-11-08
1137,2015-11-09
1138,2015-11-10
1139,2015-11-11
1140,2015-11-12
1141,2015-11-13
1142,2015-11-14
1143,2015-11-15
1144,2015-11-16
1145,2015-11-17
1146,2015-11-18
1147,2015-11-19
1148,2015-11-20
1149,2015-11-21
1150,2015-11-22
1151,2015-11-23
1152,2015-11-24
1153,2015-11-25
1154,2015-11-26
1155,2015-11-27
1156,2015-11-28
1157,2015-11-29
1158,2015-11-30
1159,2015-12-01
1160,2015-12-02
1161,2015-12-03
1162,2015-12-04
1163,2015-12-05
1164,2015-12-06
1165,2015-12-07
1166,2015-12-08
1167,2015-12-09
1168,2015-12-10
1169,2015-12-11
1170,2015-12-12
1171,2015-12-13
1172,2015-12-14
1173,2015-12-15
1174,2015-12-16
1175,2015-12-17
1176,2015-12-18
1177,2015-12-19
1178,2015-12-20
1179,2015-12-21
1180,2015-12-22
1181,2015-12-23
1182,2015-12-24
1183,2015-12-25
1184,2015-12-26
1185,2015-12-27
1186,2015-12-28
1187,2015-12-29
1188,2015-12-30
1189,2015-12-31
1190,2016-01-01
1191,2016-01-02
1192,2016-01-03
1193,2016-01-04
1194,2016-01-05
1195,2016-01-06
1196,2016-01-07
1197,2016-01-08
1198,2016-01-09
1199,2016-01-10
1200,2016-01-11
1201,2016-01-12
1202,2016-01-13
1203,2016-01-14
1204,2016-01-15
1205,2016-01-16
1206,2016-01-17
1207,2016-01-18
1208,2016-01-19
1209,2016-01-20
1210,2016-01-21
1211,2016-01-22
1212,2016-01-23
1213,2016-01-24
1214,2016-01-25
1215,2016-01-26
1216,2016-01-27
1217,2016-01-28
1218,2016-01-29
1219,2016-01-30
1220,2016-01-31
1221,2016-02-01
1222,2016-02-02
1223,2016-02-03
1224,2016-02-04
1225,2016-02-05
1226,2016-02-06
1227,2016-02-07
1228,2016-02-08
1229,2016-02-09
1230,2016-02-10
1231,2016-02-11
1232,2016-02-12
1233,2016-02-13
1234,2016-02-14
1235,2016-02-15
1236,2016-02-16
1237,2016-02-17
1238,2016-02-18
1239,2016-02-19
1240,2016-02-20
1241,2016-02-21
1242,2016-02-22
1243,2016-02-23
1244,2016-02-24
1245,2016-02-25
1246,2016-02-26
1247,2016-02-27
1248,2016-02-28
1249,2016-02-29
1250,2016-03-01
1251,2016-03-02
1252,2016-03-03
1253,2016-03-04
1254,2016-03-05
1255,2016-03-06
1256,2016-03-07
1257,2016-03-08
1258,2016-03-09
1259,2016-03-10
1260,2016-03-11
1261,2016-03-12
1262,2016-03-13
1263,2016-03-14
1264,2016-03-15
1265,2016-03-16
1266,2016-03-17
1267,2016-03-18
1268,2016-03-19
1269,2016-03-20
1270,2016-03-21
1271,2016-03-22
1272,2016-03-23
1273,2016-03-24
1274,2016-03-25
1275,2016-03-26
1276,2016-03-27
1277,2016-03-28
1278,2016-03-29
1279,2016-03-30
1280,2016-03-31
1281,2016-04-01
1282,2016-04-02
1283,2016-04-03
1284,2016-04-04
1285,2016-04-05
1286,2016-04-06
1287,2016-04-07
1288,2016-04-08
1289,2016-04-09
1290,2016-04-10
1291,2016-04-11
1292,2016-04-12
1293,2016-04-13
1294,2016-04-14
1295,2016-04-15
1296,2016-04-16
1297,2016-04-17
1298,2016-04-18
1299,2016-04-19
1300,2016-04-20
1301,2016-04-21
1302,2016-04-22
1303,2016-04-23
1304,2016-04-24
1305,2016-04-25
1306,2016-04-26
1307,2016-04-27
1308,2016-04-28
1309,2016-04-29
1310,2016-04-30
1311,2016-05-01
1312,2016-05-02
1313,2016-05-03
1314,2016-05-04
1315,2016-05-05
1316,2016-05-06
1317,2016-05-07
1318,2016-05-08
1319,2016-05-09
1320,2016-05-10
1321,2016-05-11
1322,2016-05-12
1323,2016-05-13
1324,2016-05-14
1325,2016-05-15
1326,2016-05-16
1327,2016-05-17
1328,2016-05-18
1329,2016-05-19
1330,2016-05-20
1331,2016-05-21
1332,2016-05-22
1333,2016-05-23
1334,2016-05-24
1335,2016-05-25
1336,2016-05-26
1337,2016-05-27
1338,2016-05-28
1339,2016-05-29
1340,2016-05-30
1341,2016-05-31
1342,2016-06-01
1343,2016-06-02
1344,2016-06-03
1345,2016-06-04
1346,2016-06-05
1347,2016-06-06
1348,2016-06-07
1349,2016-06-08
1350,2016-06-09
1351,2016-06-10
1352,2016-06-11
1353,2016-06-12
1354,2016-06-13
1355,2016-06-14
1356,2016-06-15
1357,2016-06-16
1358,2016-06-17
1359,2016-06-18
1360,2016-06-19
1361,2016-06-20
1362,2016-06-21
1363,2016-06-22
1364,2016-06-23
1365,2016-06-24
1366,2016-06-25
1367,2016-06-26
1368,2016-06-27
1369,2016-06-28
1370,2016-06-29
1371,2016-06-30
1372,2016-07-01
1373,2016-07-02
1374,2016-07-03
1375,2016-07-04
1376,2016-07-05
1377,2016-07-06
1378,2016-07-07
1379,2016-07-08
1380,2016-07-09
1381,2016-07-10
1382,2016-07-11
1383,2016-07-12
1384,2016-07-13
1385,2016-07-14
1386,2016-07-15
1387,2016-07-16
1388,2016-07-17
1389,2016-07-18
1390,2016-07-19
1391,2016-07-20
1392,2016-07-21
1393,2016-07-22
1394,2016-07-23
1395,2016-07-24
1396,2016-07-25
1397,2016-07-26
1398,2016-07-27
1399,2016-07-28
1400,2016-07-29
1401,2016-07-30
1402,2016-07-31
1403,2016-08-01
1404,2016-08-02
1405,2016-08-03
1406,2016-08-04
1407,2016-08-05
1408,2016-08-06
1409,2016-08-07
1410,2016-08-08
1411,2016-08-09
1412,2016-08-10
1413,2016-08-11
1414,2016-08-12
1415,2016-08-13
1416,2016-08-14
1417,2016-08-15
1418,2016-08-16
1419,2016-08-17
1420,2016-08-18
1421,2016-08-19
1422,2016-08-20
1423,2016-08-21
1424,2016-08-22
1425,2016-08-23
1426,2016-08-24
1427,2016-08-25
1428,2016-08-26
1429,2016-08-27
1430,2016-08-28
1431,2016-08-29
1432,2016-08-30
1433,2016-08-31
1434,2016-09-01
1435,2016-09-02
1436,2016-09-03
1437,2016-09-04
1438,2016-09-05
1439,2016-09-06
1440,2016-09-07
1441,2016-09-08
1442,2016-09-09
1443,2016-09-10
1444,2016-09-11
1445,2016-09-12
1446,2016-09-13
1447,2016-09-14
1448,2016-09-15
1449,2016-09-16
1450,2016-09-17
1451,2016-09-18
1452,2016-09-19
